,start date,end date,precision score
0,2009-10-06,2010-10-04,0.5934065934065934
1,2010-10-04,2011-09-29,0.5402843601895735
2,2011-09-29,2012-09-26,0.5813008130081301
3,2012-09-26,2013-09-26,0.569672131147541
4,2013-09-26,2014-09-24,0.5040322580645161
5,2014-09-24,2015-09-22,0.5203252032520326
6,2015-09-22,2016-09-19,0.5391304347826087
7,2016-09-19,2017-09-19,0.585
8,2017-09-19,2018-09-18,0.5414847161572053
9,2018-09-18,2019-09-17,0.6037735849056604
10,2019-09-17,2020-09-14,0.56
11,2020-09-14,2021-09-10,0.4875
